Property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,School_id,Distance_to_school,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Recreation_centre_id,Distance_to_Recreation_centre
52501.0,-37.824183,145.003031,173 Coppin Street,RICHMOND,16800000.0,house,2010.0,4.0,2.0,0.0,78.0,9.896,19906,0.547,12.0,0.0,hospital_122,0.468,MARIBY8453,9.2
39487.0,-37.67914,145.052034,11 Silky Oak Drive,BUNDOORA,7140000.0,house,2011.0,4.0,3.0,2.0,5160.0,1.236,20007,3.329,40.857142857142854,0.0,hospital_041,1.676,WHITTL9519,0.874
22553.0,-37.726828,144.983794,3 Tilley Street,COBURG NORTH,8585000.0,house,2012.0,2.0,1.0,3.0,1965.0,3.224,20011,1.68,31.866666666666667,0.0,hospital_139,1.625,MORELA13002,2.785
35386.0,-37.719531,144.99595,64 Kinsale Street,RESERVOIR,3708000.0,house,2013.0,2.0,1.0,2.0,1965.0,3.154,20010,1.016,34.86666666666667,0.0,hospital_139,0.287,DAREBI11830,2.569
55256.0,-37.83717728,145.0761719,20 Carramar Avenue,CAMBERWELL,12870000.0,house,2009.0,4.0,2.0,2.0,1596.0,8.775,19851,0.541,24.857142857142858,0.0,hospital_168,2.107,MONASH11997,8.647
61325.0,-37.827533,145.224104,15 Hammond Street,RINGWOOD,8900000.0,house,2016.0,3.0,2.0,2.0,5045.0,0.587,19901,1.341,36.44444444444444,0.0,hospital_008,2.453,MAROON11037,0.165
92495.0,-38.002753,145.090582,1 Edith Street,MORDIALLOC,13600000.0,house,2015.0,3.0,2.0,2.0,5101.0,5.09,19863,0.497,45.61538461538461,0.0,hospital_001,2.061,BAYSID12340,6.438
56510.0,-37.854386,145.126359,29 Cypress Avenue,BURWOOD,7424000.0,house,2015.0,4.0,2.0,2.0,1596.0,4.107,19875,2.328,25.61764705882353,1.0,hospital_047,1.427,WHITEH10994,4.173
70584.0,-37.875462,145.102069,19 Jindabyne Avenue,CHADSTONE,8505000.0,house,2012.0,3.0,1.0,0.0,734.0,4.155,19840,0.905,31.857142857142858,1.0,hospital_098,1.976,MONASH11997,3.82
4292.0,-37.838092,144.865522,25 Charlotte Street,NEWPORT,5500000.0,house,2012.0,3.0,1.0,3.0,4665.0,0.53,19994,1.671,16.5,0.0,hospital_141,3.544,HOBSON12971,0.56
